,Color,Diameter,Label
0,Green,2.334357262450065,Apple
1,Red,0.4672782128300077,Grape
2,Yellow,5.502950086017451,Apple
3,Red,1.1383971574125642,Grape
4,Green,15.278065342064746,Apple
5,Green,3.180802191134971,Grape
6,Green,2.3808641856951653,Grape
7,Green,9.814277622716936,Apple
8,Red,2.845036090042232,Grape
9,Red,1.9444530986528608,Grape
10,Green,1.4846816275247035,Grape
11,Red,3.9055526190542267,Apple
12,Red,5.91520215765514,Apple
13,Red,0.5508343824134875,Grape
14,Red,0.8657697517293896,Grape
15,Green,1.2702060918203648,Apple
16,Green,3.6448302973775477,Grape
17,Red,0.49569271263564496,Grape
18,Red,0.7162825657363063,Grape
19,Green,4.303173530603392,Apple
20,Green,6.254184653344404,Apple
21,Green,1.0670755933852911,Grape
22,Red,7.6448967718782805,Apple
23,Green,5.890367702047605,Apple
24,Green,0.40733033721529144,Grape
25,Red,11.204034493875879,Apple
26,Red,1.148141962331159,Grape
27,Yellow,7.2916576960087545,Apple
28,Green,8.514079377414685,Apple
29,Yellow,7.984903885002266,Apple
30,Green,1.2126044245694143,Grape
31,Green,7.718748279569174,Apple
32,Red,1.7470647219515456,Grape
33,Green,2.5254606160889708,Grape
34,Red,5.787903118447188,Apple
35,Green,9.039924532735307,Apple
36,Green,6.541676729363774,Apple
37,Green,0.7720755582353225,Apple
38,Green,0.05814810995392716,Grape
39,Red,1.464645463595254,Grape
40,Green,1.2476800543339417,Grape
41,Red,1.9116740455988919,Grape
42,Green,4.09436728663263,Apple
43,Green,2.3154401924478467,Grape
44,Green,1.1677363458518006,Grape
45,Green,3.4671131125521075,Apple
46,Green,4.911336723695287,Apple
47,Green,1.1309552761177064,Grape
48,Red,3.5735250279155477,Grape
49,Green,2.052671433311472,Grape
50,Yellow,6.170701464952488,Apple
51,Yellow,8.323098721819454,Apple
52,Yellow,5.443299386725444,Apple
53,Green,1.9464008517095661,Grape
54,Red,12.548773740038909,Apple
55,Green,2.1899968634805775,Grape
56,Red,2.1027300937960502,Apple
57,Yellow,3.445940228765344,Apple
58,Green,1.3137866914524254,Grape
59,Yellow,5.402530242372797,Apple
60,Green,8.144248762627512,Apple
61,Red,3.3683710176299453,Apple
62,Red,7.722362529225816,Apple
63,Yellow,9.267220866683628,Apple
64,Green,5.8435307188731755,Apple
65,Red,4.738886601458198,Apple
66,Red,1.1446354373698946,Grape
67,Green,5.925657773560429,Apple
68,Red,10.987188539619048,Apple
69,Red,8.29932385945403,Apple
70,Red,7.7970639248987075,Apple
71,Red,1.3085337478074281,Grape
72,Green,4.8852359424776655,Apple
73,Yellow,7.733330367884898,Apple
74,Green,0.0451732302140706,Grape
75,Red,2.882739348821218,Grape
76,Green,2.6937473070183273,Grape
77,Yellow,5.511692998052313,Apple
78,Green,1.7919107123914728,Apple
79,Green,1.4311878137052683,Apple
80,Green,2.0479594510279058,Grape
81,Yellow,1.617312185530837,Apple
82,Green,0.38528244934117595,Apple
83,Red,0.8809461500741859,Grape
84,Red,2.238223053592213,Grape
85,Red,0.5592719704677407,Grape
86,Yellow,11.46806788622344,Apple
87,Green,1.4299307196532343,Grape
88,Red,1.8510839904191339,Grape
89,Green,10.795233514266297,Apple
90,Red,6.420469895350481,Apple
91,Green,2.352526770996373,Grape
92,Yellow,4.60173280137071,Apple
93,Red,10.035527298982567,Apple
94,Red,1.80501371269435,Grape
95,Red,2.271147550712422,Grape
96,Green,2.5628920148870815,Apple
97,Green,6.54225991389685,Apple
98,Yellow,10.046995844626304,Apple
99,Yellow,7.8901995174823405,Apple
100,Red,0.15786816656495506,Grape
101,Red,5.394189506401466,Apple
102,Green,8.761778138199478,Apple
103,Red,1.5047633816694248,Grape
104,Green,9.91760736742761,Apple
105,Green,2.1208363480813097,Grape
106,Red,8.093443747721517,Apple
107,Green,0.8794957339050561,Grape
108,Green,2.8446711658418455,Grape
109,Yellow,3.844359692344978,Apple
110,Red,6.833942355932831,Apple
111,Green,4.278099635424018,Apple
112,Green,1.6748636442411944,Grape
113,Green,2.4699694253786366,Grape
114,Green,2.277992578973555,Grape
115,Red,7.852943556993834,Apple
116,Green,0.3886567616817127,Grape
117,Red,1.2319882085384446,Grape
118,Green,5.38260208974103,Apple
119,Red,1.9978188577868257,Grape
120,Red,9.071287073149147,Apple
121,Red,2.394954952183949,Grape
122,Green,6.221269054497881,Apple
123,Green,2.184933952632294,Grape
124,Green,12.044730148801982,Apple
125,Red,1.6277578469887017,Grape
126,Green,2.993595716570885,Grape
127,Green,6.022991593539477,Apple
128,Green,7.672756662897045,Apple
129,Green,1.1404958736634123,Grape
130,Green,1.0853521913503021,Grape
131,Red,0.19811877039295078,Grape
132,Green,1.6207279243748869,Apple
133,Red,5.78217481843455,Apple
134,Green,3.022812056786613,Apple
135,Green,0.7058230633050733,Grape
136,Red,4.035994172518796,Apple
137,Yellow,4.430352075297371,Apple
138,Red,0.5797438407279568,Grape
139,Green,7.634491038195634,Apple
140,Red,1.6500061458352762,Grape
141,Red,4.479128813562081,Apple
142,Green,3.671208311589374,Grape
143,Green,3.232399729388622,Apple
144,Yellow,4.4375162175569365,Apple
145,Green,0.2912494920536717,Apple
146,Green,2.8906032921789713,Apple
147,Red,6.6513108988385525,Apple
148,Green,0.37248417595506633,Grape
149,Red,1.9168172963867465,Grape
150,Yellow,7.717100803740295,Apple
151,Green,2.348934652472545,Grape
152,Red,11.112967018873364,Apple
153,Red,9.991353942375278,Apple
154,Red,4.201632875480685,Apple
155,Green,6.275986625640686,Apple
156,Green,2.024002132258132,Grape
157,Green,4.7028934165657414,Apple
158,Green,0.45943581136027856,Grape
159,Red,1.8836328577002908,Grape
160,Red,1.8412365619995736,Grape
161,Green,3.852891128792847,Apple
162,Red,1.6410334697451276,Grape
163,Red,2.1134350664534645,Grape
164,Green,1.4544568131345006,Grape
165,Red,1.4445362381139173,Grape
166,Green,1.1514058643328429,Grape
167,Green,2.523202226342426,Grape
168,Green,2.5409972833453067,Apple
169,Green,2.8877200523708186,Apple
170,Yellow,4.965713617641259,Apple
171,Green,2.7280786632922243,Grape
172,Green,1.062523323253141,Apple
173,Green,2.338663536702873,Grape
174,Red,1.5704341576454952,Grape
175,Red,1.0827636228185153,Grape
176,Green,0.8423900224216576,Grape
177,Green,2.569226813117072,Grape
178,Red,2.4902559043983366,Grape
179,Red,4.442242458488058,Apple
180,Yellow,8.215612240968664,Apple
181,Red,6.224282104969686,Apple
182,Red,2.1243958374211194,Grape
183,Green,7.20247677172242,Apple
184,Green,2.41815544054422,Grape
185,Green,5.79610658459947,Apple
186,Green,4.547520707151321,Apple
187,Green,10.193755408383556,Apple
188,Green,1.3796685962984048,Grape
189,Green,1.9165040299731968,Grape
190,Yellow,7.119300203759486,Apple
191,Red,0.814657009369539,Grape
192,Green,4.038139919627042,Apple
193,Green,5.48392504820677,Apple
194,Green,0.35656350136283965,Grape
195,Green,0.5563023314396166,Grape
196,Red,8.097546363750574,Apple
197,Red,8.56391124482714,Apple
198,Red,-0.481297156950502,Grape
199,Red,-0.797690834250671,Grape
200,Green,0.8297206601564041,Grape
201,Red,1.0560121049740254,Grape
202,Red,7.604439840113299,Apple
203,Yellow,6.306695177221011,Apple
204,Red,7.990105343530935,Apple
205,Red,9.169301481213395,Apple
206,Red,7.66738949202582,Apple
207,Red,1.6984568901814558,Grape
208,Red,-0.36298652251217933,Grape
209,Green,2.2076951658980786,Grape
210,Green,1.1083618034505263,Grape
211,Yellow,5.405182275965635,Apple
212,Red,0.9612114567693125,Grape
213,Green,0.834393303247818,Grape
214,Green,3.8163331376622724,Apple
215,Red,3.2556978557086107,Grape
216,Red,1.751186187953208,Grape
217,Yellow,4.307797219294509,Apple
218,Red,1.5157312431225511,Grape
219,Yellow,7.593901869834903,Apple
220,Yellow,11.167435947033782,Apple
221,Red,1.874445041635283,Grape
222,Green,2.592245966911359,Apple
223,Red,1.218936973986876,Grape
224,Green,1.6699007371144456,Grape
225,Red,6.734873430402535,Apple
226,Yellow,7.484677801714504,Apple
227,Green,2.6072616126549484,Grape
228,Yellow,4.1575342152793615,Apple
229,Green,1.4619685635054216,Grape
230,Red,1.7868548876487191,Grape
231,Red,2.832463312290982,Grape
232,Red,1.5094500186487385,Grape
233,Green,3.902070694323611,Apple
234,Red,1.1814054798718645,Grape
235,Red,2.122384875963168,Grape
236,Yellow,4.242659665390169,Apple
237,Green,1.3380676477688842,Grape
238,Green,2.2820671382071156,Grape
239,Red,1.899476909470883,Grape
240,Red,1.221796999705462,Grape
241,Yellow,4.75092896589131,Apple
242,Red,3.691281361133891,Apple
243,Red,2.5609016140436855,Grape
244,Red,1.7491847152615152,Grape
245,Green,2.328772941402737,Grape
246,Green,0.9140769660298678,Grape
247,Green,6.208187954221937,Apple
248,Red,1.078022230829884,Grape
249,Green,1.919096195757414,Grape
250,Green,1.2518965188954987,Grape
251,Red,1.0438652811311813,Grape
252,Green,1.1371407477241382,Grape
253,Green,1.6160846196816696,Grape
254,Red,4.552625374018087,Apple
255,Red,0.7956337597552273,Grape
256,Green,0.2549724401444502,Grape
257,Red,-0.893255014197067,Grape
258,Green,0.62044990811123,Grape
259,Yellow,7.570934672781819,Apple
260,Green,0.8722199897716321,Apple
261,Green,5.890596501088591,Apple
262,Yellow,9.160101278024959,Apple
263,Green,8.835781578193473,Apple
264,Green,1.82066353572506,Grape
265,Red,1.8695386517445352,Grape
266,Red,1.785496393672172,Grape
267,Red,2.241153738567358,Grape
268,Red,11.690214235086788,Apple
269,Green,1.1850509718698057,Grape
270,Red,1.8059684854211357,Grape
271,Green,2.0493414411964848,Grape
272,Green,-0.32761602100334497,Grape
273,Green,1.4034252513379428,Grape
274,Green,6.601034733071224,Apple
275,Green,2.861995274315885,Grape
276,Green,0.43450742382601404,Grape
277,Red,2.671661606608499,Grape
278,Green,1.8816102494600324,Apple
279,Green,2.83942697441604,Grape
280,Red,9.464217811074434,Apple
281,Red,2.0715282932028956,Grape
282,Green,3.2190584577891306,Grape
283,Green,0.45838026672823173,Grape
284,Green,-0.0356431715625114,Grape
285,Red,4.877482907468269,Apple
286,Red,4.599752571746196,Apple
287,Red,1.7523975347846663,Grape
288,Red,12.045765220219412,Apple
289,Yellow,3.870611505893933,Apple
290,Red,5.689754987625978,Apple
291,Green,1.9853242721626354,Grape
292,Green,4.282864124645604,Apple
293,Green,8.411299434539446,Apple
294,Yellow,4.726387418724502,Apple
295,Green,1.885498683477376,Grape
296,Red,5.781090608664813,Apple
297,Green,1.1735329506115757,Grape
298,Green,7.53637859719954,Apple
299,Green,2.8224228929102564,Grape
300,Red,1.069823396363562,Grape
301,Green,6.849747717145534,Apple
302,Green,6.824240346598417,Apple
303,Green,7.924993737878036,Apple
304,Yellow,10.245805655431795,Apple
305,Red,2.461658459384408,Grape
306,Red,6.875797565326097,Apple
307,Red,1.6394526831272247,Grape
308,Red,4.362518113494776,Apple
309,Green,9.098141450763451,Apple
310,Red,9.194976781091178,Apple
311,Red,10.283915124136275,Apple
312,Green,5.018174218069024,Apple
313,Red,1.22188832785759,Grape
314,Red,2.8887131358660625,Grape
315,Green,0.4951369302543909,Apple
316,Yellow,7.0992692534162805,Apple
317,Green,2.9547607367316395,Apple
318,Green,1.1868790656064627,Grape
319,Green,7.826802021952169,Apple
320,Green,4.420716397549549,Apple
321,Green,0.4487158520329222,Grape
322,Red,1.2587969661437577,Grape
323,Green,3.2781262013313173,Apple
324,Green,0.5105392884742249,Grape
325,Green,1.7519321391389144,Grape
326,Red,0.8357721817148801,Grape
327,Green,2.7017935301976763,Apple
328,Green,0.7313138346284477,Grape
329,Green,2.336554600331575,Grape
330,Red,2.6872231886714184,Grape
331,Red,0.9263066770029939,Grape
332,Red,0.2879542447822001,Grape
333,Red,0.6396494995565007,Grape
334,Red,9.677421661994591,Apple
335,Yellow,8.344585853269937,Apple
336,Green,4.1832602051498915,Apple
337,Yellow,6.569261464851039,Apple
338,Red,4.633992236471901,Apple
339,Red,6.379165868328127,Apple
340,Green,1.5787961172466718,Grape
341,Red,1.299592409536361,Grape
342,Red,1.2202024454713754,Grape
343,Green,1.6448353514684007,Grape
344,Green,5.904834350361227,Apple
345,Red,1.393652359384287,Grape
346,Red,3.5381489090439717,Apple
347,Yellow,2.0711041194081723,Apple
348,Yellow,7.295133720446427,Apple
349,Red,9.357411480493518,Apple
350,Green,2.0789830185566354,Grape
351,Yellow,3.768702791788016,Apple
352,Red,1.6793701772068186,Grape
353,Green,7.66881976213699,Apple
354,Green,3.5840640198390936,Apple
355,Red,9.902338450150705,Apple
356,Green,3.5340371730307263,Apple
357,Green,4.840178403574316,Apple
358,Red,10.462552091482058,Apple
359,Yellow,8.267885865126477,Apple
360,Red,1.3776452693895114,Grape
361,Yellow,3.8554887795235806,Apple
362,Red,0.827290669703318,Grape
363,Green,0.6784599971002573,Grape
364,Red,1.5272300321865107,Apple
365,Green,4.186359306545645,Apple
366,Yellow,3.949784054170693,Apple
367,Yellow,9.01171135093273,Apple
368,Red,2.471656732833139,Grape
369,Red,5.105872034651833,Apple
370,Yellow,1.9639349115140305,Apple
371,Red,0.45136514329497923,Grape
372,Red,10.97938492709708,Apple
373,Green,0.4565215352400782,Grape
374,Green,0.573058245021921,Grape
375,Green,1.041313036423512,Grape
376,Red,1.3284118557767406,Grape
377,Green,1.3580996854525658,Grape
378,Green,0.24781941015514963,Apple
379,Yellow,2.299015867415193,Apple
380,Yellow,8.207876593390106,Apple
381,Red,2.076118373487833,Grape
382,Red,2.257468137666273,Grape
383,Green,9.79122548833335,Apple
384,Red,2.3550795757730305,Grape
385,Red,0.4374310342898291,Grape
386,Yellow,6.404803309539862,Apple
387,Red,1.3653289137050963,Grape
388,Red,4.510106207386114,Apple
389,Yellow,7.813510553911932,Apple
390,Green,6.05003411484368,Apple
391,Green,9.955952526819601,Apple
392,Green,9.590558975143944,Apple
393,Red,9.81624062704693,Apple
394,Green,1.411392728017111,Grape
395,Red,0.8794052000248195,Grape
396,Green,2.9168787499097895,Apple
397,Red,1.546948571334877,Grape
398,Green,9.906647915689152,Apple
399,Yellow,8.667360892248618,Apple
400,Green,9.438022126327127,Apple
401,Red,0.5837623122413717,Grape
402,Green,4.124108716175838,Apple
403,Red,4.585738778086392,Apple
404,Green,1.7833354840642415,Grape
405,Red,2.668219775093599,Grape
406,Green,0.07535544239842618,Grape
407,Green,7.9059676310726585,Apple
408,Yellow,7.974608847388558,Apple
409,Green,6.955426889935892,Apple
410,Green,2.5157346580631117,Grape
411,Green,1.462045693838479,Grape
412,Green,1.8207297574569616,Grape
413,Yellow,10.729958153365464,Apple
414,Green,1.648334343742618,Apple
415,Yellow,12.20763699305714,Apple
416,Green,2.319161017283333,Grape
417,Green,1.6564480138323971,Apple
418,Green,6.662602052321342,Apple
419,Green,1.8387829780400664,Grape
420,Green,5.436478380761619,Apple
421,Yellow,8.058449819483135,Apple
422,Green,1.7817609314858112,Grape
423,Green,3.7356490758281113,Apple
424,Red,0.29916737573752195,Grape
425,Red,1.6260173558764492,Apple
426,Red,0.9817908271682405,Grape
427,Green,7.455586092218642,Apple
428,Red,3.04200844948443,Grape
429,Red,-0.24265182526185636,Grape
430,Red,0.8612448307378006,Grape
431,Green,0.13753233047342572,Apple
432,Red,10.06537175676602,Apple
433,Red,9.88208019538198,Apple
434,Green,1.8146890112938565,Grape
435,Green,3.539464476126689,Apple
436,Red,1.933333326396116,Grape
437,Green,3.222797600961511,Apple
438,Green,7.179684049348828,Apple
439,Yellow,1.6723360001145133,Apple
440,Green,0.6892323440595183,Apple
441,Green,1.0798390085525138,Grape
442,Red,8.102634688066807,Apple
443,Green,0.42994954031663757,Grape
444,Yellow,6.775585051958977,Apple
445,Green,2.10878996545185,Grape
446,Red,4.338457174464879,Apple
447,Yellow,7.615997691333879,Apple
448,Green,1.3804074801717399,Grape
449,Green,0.9129357600584828,Grape
450,Red,1.39550645486907,Grape
451,Red,1.03718943065401,Grape
452,Green,0.9624155379311735,Grape
453,Yellow,3.1039398335107293,Apple
454,Red,1.3456083018999767,Grape
455,Green,1.478106488040958,Grape
456,Green,3.516803879281312,Grape
457,Green,2.23306784023908,Grape
458,Red,7.314142088299853,Apple
459,Red,0.11738068235049859,Grape
460,Red,1.6095075148435456,Grape
461,Green,0.4441889353972561,Grape
462,Green,1.3153575626107792,Grape
463,Red,2.489693636298402,Grape
464,Green,0.5459857595506075,Grape
465,Green,3.5794110971951154,Apple
466,Green,5.493045250210615,Apple
467,Green,3.0710311345402355,Apple
468,Red,1.833742501152992,Grape
469,Green,1.9709489944785783,Grape
470,Green,0.9073023298754966,Grape
471,Green,1.5569357947802986,Grape
472,Green,2.083578078633467,Apple
473,Yellow,5.226450688706711,Apple
474,Yellow,7.049014252338678,Apple
475,Yellow,6.531928327008138,Apple
476,Yellow,9.318084511307145,Apple
477,Green,0.9633173653945427,Grape
478,Yellow,5.202327167620842,Apple
479,Green,7.92625372550984,Apple
480,Red,1.862107477059794,Grape
481,Yellow,6.357500031399748,Apple
482,Green,5.733055527624188,Apple
483,Green,2.003590553931755,Apple
484,Yellow,10.893475800920756,Apple
485,Green,5.36000386444849,Apple
486,Green,7.118711145945371,Apple
487,Green,1.290174238954086,Apple
488,Green,0.2640350548857935,Apple
489,Yellow,5.903346730041888,Apple
490,Yellow,7.223759219630661,Apple
491,Green,4.336659590092194,Apple
492,Red,0.6821130786368522,Grape
493,Red,-0.3851427640855303,Grape
494,Yellow,3.7454318216156643,Apple
